H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0.1003487110137939,0.2051401138305664,0.1047914028167724,0.0993938446044921,0.2041852474212646,0.1202936172485351,0.0822260379791259,0.1173048019409179,0.0350787639617919,0.1312818527221679,0.6021387577056885,0.4708569049835205,0.1002931594848632,0.3173224925994873,0.217029333114624,0.2374050617218017,0.60494065284729,0.3675355911254883,0.1019387245178222,0.1122107505798339,0.0102720260620117,0.0887458324432373,0.1107833385467529,0.0220375061035156,0.094510793685913,0.423114538192749,0.3286037445068359,0.0911042690277099,0.2733838558197021,0.1822795867919922,0.0795772075653076
0.1009402275085449,0.242567777633667,0.141627550125122,0.0995082855224609,0.131676435470581,0.0321681499481201,0.0778570175170898,0.1090972423553466,0.0312402248382568,0.10223388671875,0.7236588001251221,0.6214249134063721,0.0855917930603027,0.2932989597320556,0.2077071666717529,0.1792654991149902,0.2842419147491455,0.1049764156341552,0.0842998027801513,0.1892762184143066,0.1118075847625732,0.1031663417816162,0.1355574131011963,0.03239107131958,0.0965611934661865,0.1610305309295654,0.0644693374633789,0.098400592803955,0.1852130889892578,0.0868124961853027,0.0817642211914062
0.0939080715179443,0.259319543838501,0.1654114723205566,0.073826789855957,0.2392382621765136,0.0882101058959961,0.0981776714324951,0.1300897598266601,0.031912088394165,0.1247737407684326,0.6483867168426514,0.5236129760742188,0.0999813079833984,0.2893359661102295,0.189354658126831,0.1942198276519775,0.2572495937347412,0.0630297660827636,0.1219339370727539,0.1333582401275634,0.0114243030548095,0.1013586521148681,0.1053600311279296,0.0040013790130615,0.101064920425415,0.1517729759216308,0.0507080554962158,0.1395630836486816,0.2546699047088623,0.1151068210601806,0.0891640186309814
0.1058931350708007,0.2272365093231201,0.1213433742523193,0.0945000648498535,0.1564178466796875,0.0619177818298339,0.0847878456115722,0.1467056274414062,0.0997443199157714,0.1230430603027343,0.6455371379852295,0.5224940776824951,0.1005966663360595,0.2856907844543457,0.1850941181182861,0.2220404148101806,0.2480442523956298,0.0260038375854492,0.1135728359222412,0.1304504871368408,0.0168776512145996,0.1123690605163574,0.1254196166992187,0.0130505561828613,0.0989813804626464,0.3938198089599609,0.2948384284973144,0.0913655757904052,0.244171142578125,0.1528055667877197,0.0922005176544189
0.0892055034637451,0.2321274280548095,0.1429219245910644,0.0984816551208496,0.0999963283538818,0.0015146732330322,0.0745415687561035,0.0828907489776611,0.0083491802215576,0.1082198619842529,0.6141006946563721,0.5058808326721191,0.0905268192291259,0.2475814819335937,0.1570546627044677,0.2172136306762695,0.2579705715179443,0.0407569408416748,0.1023421287536621,0.1119241714477539,0.0095820426940917,0.1020116806030273,0.1204898357391357,0.0184781551361084,0.0799112319946289,0.1373798847198486,0.0574686527252197,0.105682373046875,0.179473876953125,0.07379150390625,0.0806484222412109
0.0993754863739013,0.2414324283599853,0.1420569419860839,0.088346242904663,0.230403184890747,0.1129782199859619,0.0873878002166748,0.109199047088623,0.0218112468719482,0.1225461959838867,0.5679805278778076,0.4454343318939209,0.0887055397033691,0.2781045436859131,0.1893990039825439,0.206629991531372,0.2867615222930908,0.0801315307617187,0.1030709743499755,0.1670229434967041,0.0639519691467285,0.0371046066284179,0.1015419960021972,0.0644373893737793,0.0866162776947021,0.4031956195831299,0.3165793418884277,0.0549612045288085,0.3405649662017822,0.2856037616729736,0.0969891548156738
0.0770220756530761,0.2193701267242431,0.142348051071167,0.0997493267059326,0.1124947071075439,0.0127453804016113,0.0734844207763671,0.1169466972351074,0.0434622764587402,0.0910029411315918,0.6684236526489258,0.577420711517334,0.1159696578979492,0.2828705310821533,0.1669008731842041,0.2149364948272705,0.2209370136260986,0.0060005187988281,0.1052229404449462,0.1162607669830322,0.0110378265380859,0.1070551872253418,0.1180930137634277,0.1256687641143798,0.1262454986572265,0.1630785465240478,0.0368330478668212,0.1013891696929931,0.1653952598571777,0.0640060901641845,0.1112267971038818
0.0952894687652587,0.236851692199707,0.1415622234344482,0.0997774600982666,0.1522133350372314,0.0524358749389648,0.0540556907653808,0.0639662742614746,0.0099105834960937,0.1356062889099121,0.620720386505127,0.4851140975952148,0.0989837646484375,0.2659833431243896,0.1669995784759521,0.2165236473083496,0.2473134994506836,0.0307898521423339,0.0932292938232421,0.138045072555542,0.0448157787322998,0.0524206161499023,0.115753173828125,0.0633325576782226,0.0982775688171386,0.2667171955108642,0.1684396266937255,0.1172590255737304,0.2124183177947998,0.0951592922210693,0.1014590263366699
0.0937707424163818,0.2235414981842041,0.1297707557678222,0.0919797420501709,0.1036999225616455,0.0117201805114746,0.0719468593597412,0.1047554016113281,0.0328085422515869,0.0937705039978027,0.756427526473999,0.6626570224761963,0.1028056144714355,0.2532052993774414,0.1503996849060058,0.1855344772338867,0.2246384620666504,0.0391039848327636,0.1040718555450439,0.1431758403778076,0.1199002265930175,0.1033391952514648,0.120521068572998,0.0171818733215332,0.1092784404754638,0.2013218402862548,0.092043399810791,0.1089920997619628,0.1818408966064453,0.0728487968444824,0.0907638072967529
0.0900077819824218,0.2437493801116943,0.1537415981292724,0.1032009124755859,0.1407063007354736,0.0375053882598876,0.1048543453216552,0.1068520545959472,0.0019977092742919,0.0860838890075683,0.4289970397949219,0.3429131507873535,0.0917372703552246,0.3100128173828125,0.2182755470275879,0.1945528984069824,0.2429594993591308,0.0484066009521484,0.0774734020233154,0.1258800029754638,0.0934510231018066,0.1023347377777099,0.1694483757019043,0.0671136379241943,0.0433149337768554,0.3666377067565918,0.3233227729797363,0.0891261100769043,0.2191500663757324,0.1300239562988281,0.0856776237487793
0.1069240570068359,0.2182638645172119,0.1113398075103759,0.0917201042175293,0.1306400299072265,0.0389199256896972,0.0652766227722168,0.0959634780883789,0.0306868553161621,0.0892441272735595,0.669924259185791,0.5806801319122314,0.0941357612609863,0.2704300880432129,0.1762943267822265,0.1494841575622558,0.1829664707183838,0.0334823131561279,0.0913286209106445,0.1248109340667724,0.1310038566589355,0.1357443332672119,0.1462924480438232,0.0105481147766113,0.0851857662200927,0.1179728507995605,0.0327870845794677,0.1165406703948974,0.1468527317047119,0.0303120613098144,0.1270751953125
0.0879993438720703,0.2046902179718017,0.1166908740997314,0.1212685108184814,0.1292440891265869,0.0079755783081054,0.1032462120056152,0.1197736263275146,0.0165274143218994,0.1081454753875732,0.5386710166931152,0.430525541305542,0.0998775959014892,0.277620792388916,0.1777431964874267,0.2089478969573974,0.3518271446228027,0.1428792476654052,0.0736114978790283,0.2164907455444336,0.1015722751617431,0.1162943840026855,0.1860585212707519,0.0697641372680664,0.0912907123565673,0.118628978729248,0.0273382663726806,0.125683307647705,0.2163257598876953,0.0906424522399902,0.1012823581695556
0.0930647850036621,0.2138292789459228,0.1207644939422607,0.1046254634857177,0.1192336082458496,0.0146081447601318,0.0823018550872802,0.0917694568634033,0.009467601776123,0.1133031845092773,0.7763748168945312,0.6630716323852539,0.1016395092010498,0.2631981372833252,0.1615586280822754,0.1721539497375488,0.4090988636016845,0.2369449138641357,0.0952076911926269,0.3321526050567627,0.1091852188110351,0.0988552570343017,0.1932611465454101,0.0944058895111084,0.0915899276733398,0.3020591735839844,0.2104692459106445,0.1062595844268798,0.1536009311676025,0.0473413467407226,0.0906770229339599
