subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s060,1,0,0.10227370262145996,0.5305840969085693,0.4283103942871094,0.08307647705078125,0.5113868713378906,0.10909748077392578,0.10070943832397461,0.11893796920776367,0.018228530883789062,0.0894157886505127,1.961643934249878,1.8722281455993652,0.0947566032409668,0.3325049877166748,0.237748384475708,0.29392170906066895,0.5073864459991455,0.21346473693847656,0.1013331413269043,0.10337114334106445,0.0020380020141601562,0.09480953216552734,0.11304354667663574,0.0182340145111084,0.09102749824523926,0.2566554546356201,0.16562795639038086,0.13280797004699707,0.3717513084411621,0.23894333839416504,0.07255768775939941
s060,1,1,0.10034871101379395,0.2051401138305664,0.10479140281677246,0.09939384460449219,0.20418524742126465,0.12029361724853516,0.08222603797912598,0.11730480194091797,0.03507876396179199,0.13128185272216797,0.6021387577056885,0.4708569049835205,0.10029315948486328,0.3173224925994873,0.21702933311462402,0.23740506172180176,0.60494065284729,0.3675355911254883,0.10193872451782227,0.11221075057983398,0.010272026062011719,0.0887458324432373,0.11078333854675293,0.022037506103515625,0.09451079368591309,0.423114538192749,0.32860374450683594,0.09110426902770996,0.27338385581970215,0.1822795867919922,0.07957720756530762
s060,1,2,0.11484646797180176,0.2096550464630127,0.09480857849121094,0.10030627250671387,0.11685609817504883,0.01654982566833496,0.0923614501953125,0.12891435623168945,0.03655290603637695,0.08475589752197266,1.6623268127441406,1.577570915222168,0.09053802490234375,0.26238179206848145,0.1718437671661377,0.19832849502563477,0.26123619079589844,0.06290769577026367,0.10477185249328613,0.10477185249328613,0.0,0.1239016056060791,0.1239016056060791,0.0,0.10023021697998047,0.19075655937194824,0.09052634239196777,0.12412357330322266,0.2417449951171875,0.11762142181396484,0.07963299751281738
s060,1,3,0.10094022750854492,0.242567777633667,0.14162755012512207,0.09950828552246094,0.13167643547058105,0.03216814994812012,0.07785701751708984,0.10909724235534668,0.031240224838256836,0.10223388671875,0.7236588001251221,0.6214249134063721,0.08559179306030273,0.29329895973205566,0.20770716667175293,0.17926549911499023,0.2842419147491455,0.10497641563415527,0.08429980278015137,0.18927621841430664,0.11180758476257324,0.10316634178161621,0.1355574131011963,0.03239107131958008,0.09656119346618652,0.16103053092956543,0.0644693374633789,0.09840059280395508,0.1852130889892578,0.08681249618530273,0.08176422119140625
s060,1,4,0.09390807151794434,0.259319543838501,0.16541147232055664,0.07382678985595703,0.23923826217651367,0.0882101058959961,0.09817767143249512,0.13008975982666016,0.03191208839416504,0.12477374076843262,0.6483867168426514,0.5236129760742188,0.09998130798339844,0.2893359661102295,0.18935465812683105,0.19421982765197754,0.2572495937347412,0.06302976608276367,0.1219339370727539,0.13335824012756348,0.01142430305480957,0.10135865211486816,0.10536003112792969,0.0040013790130615234,0.10106492042541504,0.15177297592163086,0.05070805549621582,0.13956308364868164,0.2546699047088623,0.11510682106018066,0.08916401863098145
s060,1,5,0.10589313507080078,0.22723650932312012,0.12134337425231934,0.09450006484985352,0.1564178466796875,0.061917781829833984,0.08478784561157227,0.14670562744140625,0.09974431991577148,0.12304306030273438,0.6455371379852295,0.5224940776824951,0.10059666633605957,0.2856907844543457,0.18509411811828613,0.22204041481018066,0.24804425239562988,0.02600383758544922,0.11357283592224121,0.13045048713684082,0.01687765121459961,0.11236906051635742,0.12541961669921875,0.013050556182861328,0.09898138046264648,0.39381980895996094,0.29483842849731445,0.09136557579040527,0.244171142578125,0.15280556678771973,0.09220051765441895
s060,1,6,0.08920550346374512,0.23212742805480957,0.14292192459106445,0.09848165512084961,0.09999632835388184,0.0015146732330322266,0.07454156875610352,0.08289074897766113,0.008349180221557617,0.10821986198425293,0.6141006946563721,0.5058808326721191,0.09052681922912598,0.24758148193359375,0.15705466270446777,0.21721363067626953,0.25797057151794434,0.040756940841674805,0.10234212875366211,0.1119241714477539,0.009582042694091797,0.10201168060302734,0.12048983573913574,0.0184781551361084,0.0799112319946289,0.13737988471984863,0.05746865272521973,0.105682373046875,0.179473876953125,0.07379150390625,0.08064842224121094
s060,1,7,0.09937548637390137,0.24143242835998535,0.14205694198608398,0.08834624290466309,0.23040318489074707,0.11297821998596191,0.0873878002166748,0.10919904708862305,0.021811246871948242,0.12254619598388672,0.5679805278778076,0.4454343318939209,0.08870553970336914,0.2781045436859131,0.18939900398254395,0.20662999153137207,0.2867615222930908,0.08013153076171875,0.10307097434997559,0.1670229434967041,0.06395196914672852,0.03710460662841797,0.10154199600219727,0.0644373893737793,0.08661627769470215,0.4031956195831299,0.31657934188842773,0.054961204528808594,0.3405649662017822,0.28560376167297363,0.09698915481567383
s060,1,8,0.07702207565307617,0.21937012672424316,0.142348051071167,0.09974932670593262,0.11249470710754395,0.012745380401611328,0.07348442077636719,0.11694669723510742,0.043462276458740234,0.0910029411315918,0.6684236526489258,0.577420711517334,0.11596965789794922,0.2828705310821533,0.1669008731842041,0.2149364948272705,0.22093701362609863,0.006000518798828125,0.10522294044494629,0.11626076698303223,0.011037826538085938,0.1070551872253418,0.11809301376342773,0.12566876411437988,0.12624549865722656,0.16307854652404785,0.03683304786682129,0.10138916969299316,0.16539525985717773,0.06400609016418457,0.11122679710388184
s060,1,9,0.09528946876525879,0.23685169219970703,0.14156222343444824,0.0997774600982666,0.15221333503723145,0.052435874938964844,0.05405569076538086,0.06396627426147461,0.00991058349609375,0.1356062889099121,0.620720386505127,0.48511409759521484,0.0989837646484375,0.26598334312438965,0.16699957847595215,0.2165236473083496,0.2473134994506836,0.030789852142333984,0.09322929382324219,0.138045072555542,0.044815778732299805,0.052420616149902344,0.115753173828125,0.06333255767822266,0.09827756881713867,0.26671719551086426,0.16843962669372559,0.11725902557373047,0.2124183177947998,0.09515929222106934,0.10145902633666992
