subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s060,1,20,0.10247969627380371,0.19543147087097168,0.09295177459716797,0.12297558784484863,0.13297343254089355,0.009997844696044922,0.09001636505126953,0.09778761863708496,0.00777125358581543,0.12178611755371094,1.5652573108673096,1.4434711933135986,0.08757829666137695,0.3745579719543457,0.28697967529296875,0.30066442489624023,0.8689572811126709,0.5682928562164307,0.09108901023864746,0.6593818664550781,0.1056065559387207,0.10758686065673828,0.14785337448120117,0.04026651382446289,0.10944318771362305,0.5550620555877686,0.4456188678741455,0.09657931327819824,0.12500596046447754,0.028426647186279297,0.09684133529663086
s060,1,21,0.1019594669342041,0.19132089614868164,0.08936142921447754,0.10146713256835938,0.12095022201538086,0.019483089447021484,0.0649561882019043,0.07457995414733887,0.00962376594543457,0.08992624282836914,0.6787919998168945,0.5888657569885254,0.09117698669433594,0.19557762145996094,0.104400634765625,0.24622631072998047,0.29807496070861816,0.051848649978637695,0.11738252639770508,0.14371657371520996,0.026334047317504883,0.11421418190002441,0.1405482292175293,0.12444758415222168,0.13181424140930176,0.46678829193115234,0.3349740505218506,0.07689642906188965,0.16977977752685547,0.09288334846496582,0.1104288101196289
s060,1,22,0.09279060363769531,0.20360326766967773,0.11081266403198242,0.0926823616027832,0.10265660285949707,0.009974241256713867,0.07612133026123047,0.08529138565063477,0.009170055389404297,0.11455154418945312,0.597865104675293,0.48331356048583984,0.11017322540283203,0.25414037704467773,0.1439671516418457,0.19728732109069824,0.23434185981750488,0.03705453872680664,0.09769701957702637,0.134751558303833,0.1226813793182373,0.12219381332397461,0.09720945358276367,0.14319586753845215,0.1073293685913086,0.15273356437683105,0.04540419578552246,0.11142086982727051,0.17280244827270508,0.06138157844543457,0.06443142890930176
s060,1,23,0.09777140617370605,0.2264246940612793,0.12865328788757324,0.08855128288269043,0.12253999710083008,0.03398871421813965,0.0948486328125,0.10051298141479492,0.005664348602294922,0.09731411933898926,0.6595818996429443,0.5622677803039551,0.10355234146118164,0.2819671630859375,0.17841482162475586,0.21283626556396484,0.331528902053833,0.11869263648986816,0.1302783489227295,0.22434520721435547,0.09406685829162598,0.1279282569885254,0.216141939163208,0.08821368217468262,0.11121821403503418,0.3137476444244385,0.2025294303894043,0.09762072563171387,0.26468682289123535,0.16706609725952148,0.0760488510131836
s060,1,24,0.09809732437133789,0.19067931175231934,0.09258198738098145,0.10030770301818848,0.13190507888793945,0.03159737586975098,0.08801746368408203,0.09204268455505371,0.00402522087097168,0.08281469345092773,0.88458251953125,0.8017678260803223,0.10096406936645508,0.320601224899292,0.21963715553283691,0.27935075759887695,1.030580997467041,0.7512302398681641,0.11036181449890137,0.12230491638183594,0.01194310188293457,0.10242605209350586,0.11244821548461914,0.010022163391113281,0.0744328498840332,0.27107954025268555,0.19664669036865234,0.08412885665893555,0.13862252235412598,0.05449366569519043,0.10177040100097656
s060,1,25,0.09980249404907227,0.13724303245544434,0.03744053840637207,0.10326075553894043,0.17736291885375977,0.07410216331481934,0.07105326652526855,0.08011722564697266,0.009063959121704102,0.09907937049865723,0.582094669342041,0.4830152988433838,0.10567927360534668,0.29791831970214844,0.19223904609680176,0.27492213249206543,0.8781018257141113,0.6031796932220459,0.08427143096923828,0.6874511241912842,0.11908125877380371,0.10260152816772461,0.06779170036315918,0.12543797492980957,0.09521031379699707,0.190077543258667,0.09486722946166992,0.13020944595336914,0.13409757614135742,0.0038881301879882812,0.09523129463195801
s060,1,26,0.08787035942077637,0.21734166145324707,0.1294713020324707,0.09036111831665039,0.15262722969055176,0.06226611137390137,0.07605719566345215,0.08515739440917969,0.009100198745727539,0.07608413696289062,0.5976400375366211,0.5215559005737305,0.11164450645446777,0.2744021415710449,0.16275763511657715,0.2647254467010498,0.32688355445861816,0.06215810775756836,0.10556268692016602,0.16772079467773438,0.12256455421447754,0.11582636833190918,0.09882450103759766,0.12778425216674805,0.11150598526000977,0.1623692512512207,0.05086326599121094,0.09094882011413574,0.1413877010345459,0.050438880920410156,0.07822704315185547
s060,1,27,0.11182284355163574,0.19666385650634766,0.08484101295471191,0.08876514434814453,0.10451650619506836,0.015751361846923828,0.09074783325195312,0.11968564987182617,0.028937816619873047,0.08498048782348633,0.24753475189208984,0.16255426406860352,0.10043478012084961,0.23923945426940918,0.13880467414855957,0.27028489112854004,0.28728795051574707,0.01700305938720703,0.1074519157409668,0.1301872730255127,0.0227353572845459,0.11208724975585938,0.12813973426818848,0.0160524845123291,0.083648681640625,0.12758946418762207,0.04394078254699707,0.12235116958618164,0.1354961395263672,0.013144969940185547,0.11237263679504395
s060,1,28,0.09785985946655273,1.2889297008514404,1.1910698413848877,0.08172607421875,0.0834507942199707,0.0017247200012207031,0.07807183265686035,0.0815439224243164,0.0034720897674560547,0.10765933990478516,0.34020090103149414,0.23254156112670898,0.10582470893859863,0.26260876655578613,0.1567840576171875,0.21106338500976562,0.22506070137023926,0.013997316360473633,0.12209510803222656,0.1582498550415039,0.036154747009277344,0.09457898139953613,0.1399848461151123,0.04540586471557617,0.11155915260314941,0.1639091968536377,0.05235004425048828,0.09627008438110352,0.1949007511138916,0.09863066673278809,0.12150216102600098
s060,1,29,0.10226702690124512,0.5748062133789062,0.47253918647766113,0.07045841217041016,0.5429975986480713,0.0864572525024414,0.09938597679138184,0.1101388931274414,0.01075291633605957,0.11049389839172363,0.2955954074859619,0.18510150909423828,0.10003113746643066,0.28438329696655273,0.18435215950012207,0.21656394004821777,0.27150893211364746,0.05494499206542969,0.12833428382873535,0.1585555076599121,0.030221223831176758,0.07010388374328613,0.12708044052124023,0.0569765567779541,0.1295156478881836,0.30774426460266113,0.17822861671447754,0.1262528896331787,0.2488710880279541,0.12261819839477539,0.11355853080749512
